perplex |  v. 使...困惑, 使...更复杂, 使...为难
comprehensive |  adj. 综合的, 广泛的, 理解的
convict |  n. 囚犯,罪犯v. 使...确信自己犯错,宣告...有罪,使...知罪
lunar |  adj. 月亮的,阴历的,银的
listen |  v. 听，倾听 // n. 听，倾听
sturdy |  adj. 强健的, 健全的
glass |  n. 玻璃, 玻璃器皿, 窗户, (复)眼镜,透镜 // vt. 用玻璃把…盖（或罩、围）住,给...装上玻璃, 使成玻璃状, 反映, 反射, 审视 // vi. 成为玻璃状, 用光学仪器眺望
furthermore |  adv. 而且, 此外
supersonic |  adj. 超声波的，超音速的 // n. 超声波，超音速（飞机）
partly |  adv. 在一定程度上，部分地，不完全地
complain |  vi. 抱怨,悲叹,控诉
blue |  adj. 蓝色的,沮丧的,忧郁的,(女人)有学问的 // n. 蓝色 // vt. 使...变蓝 // vi. 变蓝
inevitable |  adj. 不可避免的, 必然(发生)的
sprout |  n. 芽, 萌芽 // v. 使发芽, 长芽
devil |  n. 魔鬼,坏人,难对付的东西,困难 // vt. 加料,惹恼
reverse |  n. 相反; 背面; 失败, 挫折 // adj. 反面的, 相反的, 颠倒的 // v. 颠倒, 逆转, 倒退
enforce |  vt. 加强, 强迫, 执行
appraisal |  n. 估计,估量,评价
convey |  vt. 传达,运输,转移 // [计算机] 输送
bureaucracy |  n. 官僚制度, 官僚主义
pile |  n. 堆,桩,大量,核反应堆 // vi. 形成堆,拥挤进入 // vt. 堆积,装载
cordial |  n. 兴奋剂, 补品 // adj. 热忱的, 诚恳的, 兴奋的
send |  vt. 送给,传,寄，发射 // vi. 放送 // n. 波浪的推力
vegetation |  n. 植物,草木,(植物)生长
substance |  n. 物质,实质,内容,重要性,财产
odds |  n. 让步,机率,可能性,比率,胜败优劣之别
amaze |  v. 使吃惊
irritate |  vt.& vi. 激怒,使...发怒, 使疼痛或发炎
inform |  vt.通知； 使活跃，使充满； 预示 // vi.通知； 告发
minimize |  v. 将...减到最少 // [计算机] 最小化
doorway |  n. 门口
permit |  n. 许可证,执照 // vt. &vi. 允许,许可
intrude |  v. 闯入，侵入，打扰
expenditure |  n. (时间、劳力、金钱等)支出,使用,消耗
cattle |  n. 牛 // n. 家畜，马，无价值的人，畜牲
my |  adj. 我的 // interj. 用于表示惊讶的感叹词
gay |  adj. 欢快的, 色彩鲜艳的, 同性恋的 // n. 同性恋
desk |  n. 书桌
spear |  n. 矛(正负电子对撞机) // vt 用矛刺
canal |  n. 运河,沟渠,气管,食管 // vt. 建运河,疏导
offer |  n. 出价, 提议 // vt. 提供, 出价; 贡献, 奉献 // vi. 提议; 出现; 求婚
cushion |  n. 垫子, 橡皮软垫, 缓冲 // vt. 加垫褥, 放在垫子上, 保护, 减缓, 为...装垫子
saving |  n. 节约，挽救 // （复数)savings:储蓄金，存款 // prep. 除...之外 // conj. 除了，除去 // save的现在分词
tomato |  n. 西红柿
submarine |  n. 潜水艇 // adj. 水底的, 海底的 // vt. 用潜艇袭击 // vi. 滑入...底下
revenue |  n. 总收入; 财政收入, 税收 // n. 税务局
dragon |  n. 龙，严厉的人
bad |  adj. 坏的,令人不满意的,有害的,有病的 // n. 坏人,坏事
underneath |  adv. 在下面 // n. 下部, 底部 // prep. 在...下面
obedience |  n. 服从, 顺从
than |  conj.比（用于比较级）； 宁愿…而不愿； 除…以外； 一…就 // prep.超过； 比
occurrence |  n. 发生,事件,发现
inspect |  vt. 调查, 检阅 // vi. 调查
charm |  n. 魔力, 魅力, 护身符, 小饰物 // vt. 吸引, 使...迷醉, 对...施以魔法
disease |  n. 疾病,弊端
timid |  adj. 胆怯的,害羞的
year |  n.年； 年纪； 一年的期间； 某年级的学生
dismiss |  vt.解雇，把…免职； 遣散，解散（队伍等）； 驳回，拒绝受理； 搁置 // vi.解散
congratulation |  n. 祝贺
oval |  n. 椭圆,椭圆形跑道 // adj. 卵形的,椭圆形的
action |  n. 起诉，行为，作用，情节,活动
customer |  n. 顾客，家伙
instead |  adv. 代替, 反而
utilize |  vt. 利用
believe |  vi. &vt. 认为,相信
aggravate |  vt. 使...恶化,使...更严重 // vt. [口]激怒
imitate |  v. 模仿 // vt. 仿制,仿造,模仿,仿效
billion |  n. 十亿,大量 // adj. 大量的
pulse |  n. 脉冲,脉波,脉搏 // vt. &vi. 跳动,脉跳
exhibit |  n. 展览品,展览,物证 // vt. 展览，展现，显出(感情或品质),提出证据 // vi. 展览
quarrel |  n. 吵架,争论,怨言 // vi. 吵架,争论,挑剔
pot |  n. 罐,壶,一大笔(钱) // vt. 把...装罐,(台球)入袋
lobby |  n. 大厅, 门廊, 门厅, 休息室, 游说议员者 // v. 游说
lest |  conj. 惟恐, 以免 // prep. 唯恐, 以免
pedal |  n. 踏板 // adj. 脚的, 踏脚的 // v. 用脚踏动, 踩踏板
accumulate |  vt. 积聚,累加,堆积 // vi. 累积
enrich |  vt. 使富足,使肥沃，添加元素
soda |  n. 汽水, 苏打
fee |  n. 费用,封地
twist |  n. 卷曲物,旋转,扭曲,曲解,转折(体) // vt. 拧,缠绕,扭(曲) // vi. 蛇行,变形,转
court |  n. 法院, 庭院, 奉承, 球场 // v. 献殷勤, 追求, 招致（危险、失败等）
shortly |  adv. 立刻, 马上
straight |  adj. 直的, 准的, 正直的, 坦率的, 连续的 // adv. 直接, 笔直地, 平正了, 坦率的, 连续不断地 // n. 直的东西, 传统的人
emphasize |  v. 强调,着重 // vt. 强调
lumber |  n. 木材, 木料 // v. 伐木 // vi. 缓慢地移动 // vt. 拖累
insight |  n. 洞察力
screen |  n.屏幕； 银幕； 屏风 // vt.筛（煤、矿石等）； 拍摄； 放映（电影）； 庇护
tropic |  n. 回归线,热带 // adj. 热带的,向性的
cling |  n. 紧抓,紧贴 // vi. 粘紧,附着,紧贴
distinct |  adj. (from)独特的,不同的,明显的,清楚的
recur |  v. 回到, 重现, 再来
obstruction |  n. 障碍, 妨碍, 闭塞
cottage |  n. 村舍, 小屋
include |  v. 包括,包含,连...在内 // [计算机] 包括
campaign |  n. 战役; 运动, 活动 // vt. 参加竞赛 // vi. (从事, 组织)活动
tire |  n. 轮胎.金属圈 // vt. 使疲倦, 厌烦 // vi. 疲劳
bid |  n. 出价,邀请竞标 // vt. 命令,吩咐,投标,出价 // vi. 出价
suspect |  vt.猜疑（是）； 怀疑，不信任； 怀疑…有罪 // n.嫌疑犯 // vi.怀疑
warmth |  n. 暖和, 温暖, 热烈, 热情, 热心
blind |  adj. 盲目的,瞎的,未察觉的 // n. 百叶窗,幌子 // vt. 使失明,隐藏 // adv. 盲目地
choice |  adj. 上等的,精选的 // n. 选择,挑选
ride |  n. 乘坐,乘车,搭便车 // vt. &vi. 骑,乘坐,经受住
bronze |  adj. 青铜色的 // n. 青铜, 青铜色, 青铜制品, 铜牌(第三名) // vt. 使成青铜色
considerable |  adj. 相当大的,可观的,重要的
immerse |  vt. 浸,陷入
terrify |  v. 使害怕，使恐怖，威胁
hip |  n. 臀部, 屋脊, 野蔷薇的果实, 时尚 // vt. 告知 // adj. 非常时尚的, 赞同的 // interj. 表示满意或赞同的欢呼声
simplicity |  n. 单纯, 简朴
sir |  n. 先生
invention |  n. 发明,发明物,虚构,虚构物
rally |  n. 集会,重振旗鼓,示威运动,回合 // vi. (人)集合起来,重整旗鼓,恢复精神 // vt. 重新召集,激励,嘲弄
forty |  num.&amp;adj. 四十 // pron. 四十(个,只...)
horn |  n. 喇叭 // n.(牛、羊等的)角, 喇叭, 触角 // v.装角
affection |  n. 慈爱,爱,感情,作用,影响
medieval |  adj. 中世纪的
yours |  pron. 你的, 你们的
tuck |  n. 缝摺,船尾突出部下方,食品,鼓声 // vt. 打摺,卷起,挤进,畅饮 // vi. 缝褶裥,缩拢,畅饮
melt |  n. 熔化,熔化物 // vt. &vi. 熔化,溶解, 软化, 渐渐混合
inland |  adj. 内陆的, 国内的 // adv. 内陆地 // n. 内陆
born |  vt.bear的过去分词； 支撑，支持； 亲自携带，运输 // vi.结果，生产； 和…有关 // adj.出生的，出身于…的； 天生的，天赋的
span |  n.共轭（马、骡）； 跨度，墩距； 一段时间； [航] 跨绳 // vt.缚住或扎牢； 跨越时间或空间； 以掌测量； 以手围绕测量类似测量
flush |  n. 流溢, 面红, 旺盛, 冲水(尤指冲马桶), 突然萌发, (纸牌)同花顺, 清一色 // [计算机] 冲洗 // vi. 脸发红, 冲刷, 旺盛成长 // vt. 用水冲洗, 惊起(一群鸟), 抄...老窝, 使兴奋 // adj. 丰足的,齐平的,满盈的 // adv. 正直地, 羞涩地
decline |  n. 衰微, 跌落; 晚年 // v. 降低, 婉谢
fiscal |  adj. 财政的,国库的
precise |  adj. 精确的,准确的,认真的
pea |  n. 豌豆
impressive |  adj. 给人深刻印象的
overhead |  n. 经常开支,普通用费 // adj. 在头上的,高架的 // adv. 在头顶上,在空中,在高处 // [计算机] 总开销
weak |  adj. 不充分的, 淡薄的, 弱的, 虚弱的, 无力的
cherish |  vt. 珍爱,抚育,珍藏
drown |  vt. 淹死,沉浸于, // vi. 淹死
sly |  adj. 狡猾的，诡密的,偷偷摸摸的
dread |  n. 恐惧, 可怕的人, 可怕的事 // adj. 可怕的, 可怖的 // v. 恐惧, 害怕
passage |  n. 通道,走廊,一段文章,旅程 // vi. 通过 // vt. 通过
plane |  n.水平； 平面； 飞机； 木工刨 // adj.平的，平坦的 // vt.用刨刨平； 小船等擦着水面疾驶 // vi.鸟滑翔
compound |  n. 混合物,复合词 // adj. 复(混)合的,合成的 // vt. 混合,调合,妥协 // vi. 混合,妥协
correspondent |  n. 通讯记者,通信者 // adj. 与...一致的, 相应的
lovely |  adj. 可爱的,令人愉快的 // n. 漂亮的女人,美好的东西
classify |  v. 分类,归类,分等
bag |  n. 包,猎获物 // vt. 鼓起,把...装入袋中,猎杀,占有 // vi. 鼓起,宽松地下垂或悬吊
wreath |  n. 花环, 花圈
here |  adv.在这里； 这时； 在这一点上； （给某人东西或指出某物时说） // n.这里 // int.喂； 嗨
therapy |  n. 疗法,治疗
funny |  adj. 滑稽的,有趣的,莫名其妙的 // n. 笑话,(the funny)滑稽戏
myself |  pron. 我自己
invitation |  n. 邀请
jacket |  n. 短上衣, 茄克衫
celebrate |  vt. &vi. 庆祝,祝贺,颂扬
sake |  n. 缘故, 利益, 好处
boil |  v. 沸腾,煮沸 // vi. 沸腾 // vt. 煮沸
chop |  n. 厚肉片,排骨,砍 // vt. 剁碎,砍(价),切 // vi. 砍
constant |  adj. 经常的, 不变的 // n. 常数, 恒量
retire |  n. 退休,退职 // vi. &vt. 退休,撤退
hurl |  n. 用力的投掷 // v. 用力投掷, 愤慨地说出, 丢下
thirteen |  num. 十三
clip |  n. 夹子,别针,回形针,修剪,剪下来的东西 // vt. &vi. 修剪,剪报,痛打,紧紧围住
notwithstanding |  adv. 虽然, 尽管 // prep. 纵使 // conj. 虽然
pilgrim |  n. 朝圣者 // Pilgrim: 1620年移居美洲的英国清教徒
digital |  adj. 手指的,数字的,数码的,电子的
poultry |  n. 家禽
sudden |  n. 突然, 忽然 // adj. 突然的, 快速的
boast |  n. 吹牛 // vt. &vi. 吹牛,自夸
heavy |  adj.重的，沉重的； 大量的，浓密的； 激烈的； 重型的 // n.重物； 庄重的角色 // adv.密集地； 大量地； 笨重地
gang |  n. 队,群,帮 // vt.& vi. 结一组,联合在一起
spite |  n. 恶意, 怨恨 // vt. 刁难, 伤害
packet |  n. 储存器,讯息封,小包 // v. 打包,装进小包
reputation |  n. 声誉,好名声
poet |  n. 诗人
hormone |  n. 荷尔蒙, 激素
basement |  n. 根基，地下室 // n.（新英格兰）特别指学校中的公厕
idea |  n. 主意, 想法, 观念
gross |  n. 总量 // adj. 总共的, 粗鲁的, 严重的, 过胖的 // vt. 总共赚得
staircase |  n. 楼梯
elaborate |  adj. 精细的, 详尽的, 精心的 // v. 详细地说明, 用心地作, 推敲
puzzle |  n. 难题,迷惑 // vt. 使困惑,解决 // vi. 迷惑,苦思
elementary |  adj. 基本的,初级的,元素的
downstairs |  adj. 楼下的 // adv. 在楼下 // n. 楼下
remove |  n. 间距, 移动 // vt. 除去,开除, 移动, 取下, 拿走 // vi. 迁徙,离开,搬迁
economic |  adj. 经济学的, 经济的，有利可图的 // n. [-s]经济学(状况等)
clerk |  n. 职员,办事员
opera |  n. 歌剧 // n. 挪威Opera软件公司的浏览器软件
excuse |  n. 借口,理由；低劣的样品,假条 // vt. 原谅,辩解,准许离开,同意赦免
adverb |  adj. 副词的 // n. 副词
anniversary |  n. 周年纪念(日)
rot |  n. 腐烂, 腐蚀, 败坏 // v. 腐烂, 使...枯朽, 衰弱
genuine |  adj. 真正的,真实的,诚恳的
simultaneous |  adj. 同时发生的,同步的
son |  n. 儿子
cargo |  n. 船货, 货物
vibrate |  vt. (使)振动,(使)摇摆 // vi. 回响，颤动
locomotive |  n. 火车头, 机关车 // adj. 运转的, 火车头的, 移动的
recommend |  vt. 建议, 推荐, 劝告 // vt. 使成为可取, 使受欢迎
obesity |  n. 肥胖, 肥大
reality |  n. 现实,实际,真实
elsewhere |  adv. 在别处, 到别处
beverage |  n. 饮料
countryside |  n. 乡下, 农村
outstanding |  adj. 突出的, 显著的, 未支付的
holder |  n. 持有者，占有者，（台、架等）支持物
prominent |  adj. 杰出的,显著的,突出的
strip |  vi.剥光； 表演脱衣舞； 剥除 // vt.除去，剥去； 剥夺； 删除； 清除，拆除 // n.长条，条板； 带状地带（或森林、湖面等）； （足球队员的）运动服
tower |  n. 塔,高楼,堡垒 // vi. 屹立,超越
spoil |  n. 战利品, 奖品 // v. 宠坏, 溺爱, 破坏, 腐坏
multiply |  vt. 乘,增加 // vi. 扩大,繁衍,做乘法 // adv. 多样地,多重地
prototype |  n. 原型,雏形
buzz |  n. 嗡嗡声 // vi. 发出嗡嗡声,充满,匆忙 // vt. 飞进,使嗡嗡叫
guest |  n. 客人, 客串演员, 特邀来宾 // vt. 款待 // vi. 作客
tank |  n. 水槽,池塘,战车 // vt. 储于槽中,击败 // vi. 放弃
reliable |  adj. 可靠的,可信的
may |  n. 五月, 青春 // v. aux.可能,可以,祝愿
spur |  n. 马刺, 刺激, 鞭策, 支脉, (公路或铁路的)支线,  // vt. 以马刺策(马)前进, 刺激, 激励, 给(马)装马刺
obedient |  adj. 服从的, 顺从的
worthwhile |  adj. 值得(做)的
cost |  n.价钱，代价； 花费，费用； 牺牲； [用复数][法律]诉讼费 // vi.价钱为，花费； 估计成本 // vt.付出代价； 估价； 使丧失； 使付出努力
appetite |  n. 爱好,嗜好,食欲,胃口,欲望
cabinet |  n. 橱柜,内阁 // adj. 私人的
network |  n. 网络,系统,广播网 // vt. 用网覆盖,联网 // vi. 加入网络
deal |  n. 交易,协定,份量 // v. (dealt,dealt[delt])处理,应付,分配
frustrate |  vt. 挫败,击败,破坏 // adj. 无益的,挫败的,挫折的
ancient |  adj. 古代的,古老的 // n. 古人, 古货币
tiresome |  adj. 令人厌倦的,讨厌的
administration |  n. 行政,管理,中央政府
line |  n. 行,线,航线,场界,皱纹,家族 // vt. &vi. 用做衬里,排成一行,顺...排列 // vi. 排成一行,顺...排列,划线于
sister |  n. 姐妹，护士长
flavor |  n. 滋味, 香料, 风格 // vt. 加味于
agreement |  n. 同意, 一致, 协议
star |  n. 星, 明星 // v. 以星状物装饰, 变成演员
opinion |  n. 看法,意见 // v. 判断,意见,主张
aid |  n. 帮助,救护,辅助物 // vt. &vi. 援助,帮助,救护 // abbr.=Agency for International Development 国际开发署[美]
catch |  n. 捕捉,陷阱,捕获物,接(球等),扣栓物,隐患 // vt. 抓住；赶上,了解,感染,被钩住,击中,察觉 // vi. 抓住，燃着
breach |  n.  裂口,违背, 冲击, 决裂 // vt. 违反,在...上打开缺口, 突破 // vi. 跃出水面
station |  n. 车(站),位置,姿势,地位 // vt. (配)安置
jungle |  adj. 丛林的,蛮荒的 // n. 丛林,密林
impetus |  n. 动力,推动力
top |  n. 顶端, 极点, 盖子, (女式)上衣, 最高地位, 陀螺 // adj. 最高的, 顶上的, 最一流的 // vt. 高耸, 加以顶盖, 超越, 上升到顶端 // vi. 得出结论, 到达顶峰
swamp |  n. 沼泽,湿地 // v. 淹没,陷于沼泽
animal |  n.动物，兽，牲畜； <俚>家畜，牲口； <俚>畜生（一般的人）； 兽性 // adj.动物的； 肉体的； 肉欲的
blanket |  n. 毛毯,覆盖物,排字版 // vt. 用毯子裹,扑灭,挡风,覆盖,使包含 // adj. 包含所有的,适用于所有情形的
warrant |  n. 正当理由,根据,委任状,准许 // vt. 保证,辩解,担保, 授权
highway |  n. 公路
relative |  adj. 相对的,比较的,涉及到的 // n. 亲属,同类事物,相关物
fabric |  n. 织物, 布, 结构
endow |  vt. 捐助,赋予,使具有某种品质
murmur |  n. 低语,低声的抱怨,[医]心区杂音 // v. 低语,低声抱怨
mock |  n. 嘲笑,戏弄,模仿 // adj. 假的,伪造的 // vt. 嘲弄,模仿,轻视 // vi. 嘲弄
upgrade |  vt. 提高(上升,浓集,加强) // n. 提高(上升,浓集,加强)
generator |  n. 发电机, 发生器
able |  adj. 能干的, 有能力的
quilt |  n. 被子,被状物 // vt. 缝被, 缝制, 用垫料填塞 // vi. 制作被子, 做缝制工作
monarch |  n. 帝王, 统治者, 元首/nn. 君王斑点蝶
appal |  vt. 使...惊骇, 使...吓坏 // vi. 削弱，失败
destructive |  adj. 破坏性的, 有害的
face |  n. 脸, 神情, 面子, 表面 // vt. 面对, 朝 // vi. 朝, 向
gift |  n. 礼物,天赋,赋予 // vt. 赠送,赋予
fresh |  adj.新鲜的； 淡水的； 新的； 无经验的 // adv.刚； 最新的 // n.开始； 新生； 泛滥； 淡水流
eagle |  n. 鹰 // vt. (高尔夫）鹰击
workshop |  n. 车间, 工场, 研讨会, 讲习班
assimilate |  v. 使同化，吸收 // n. 被同化的事物
volume |  n. 体积, 容量, 音量 // n. 卷, 册
employment |  n. 工作,职业,雇用,使用
holy |  adj. 神圣的,圣洁的,令人敬仰的
worse |  adj. 更坏的,更差的 // adv. 以更坏的方式,变得更坏 // n. 更坏的事物
wild |  adj. 放荡的,未开发的,野生的,原始的 // n. 荒野,野生状态 // adv. 野性地,未被约束地,偏离预计路线地
forbid |  vt. 禁止,妨碍, 阻止
erroneous |  adj. 错误的, 不正确的
roundabout |  adj. 绕道的，迂回的 // n. 远路，环形交叉路口 // n. (英)旋转木马 // n. 紧身短上衣
behalf |  n. 代表；利益
tribe |  n. 部落,种族,一伙人
regulation |  n. 规则, 规章, 管理 // adj. 规定的, 官方的
connect |  vt. 连接,联通,使有联系 // vi. 连接,接通
shadow |  n. 阴影, 阴暗, 预兆, 跟踪盯梢的人 // vt. 跟踪, 笼罩  // vi. 投阴影于..., 使...忧沉,预示 // adj. 影子内阁的, 阴暗的
building |  n. 建筑物
happy |  adj. 快乐的,幸福的,乐于做某事
mirror |  n. 镜子 // vt. 反映,反射
dentist |  n. 牙科医生
truck |  n. 卡车,对...进行交易,来往,实物工资 // vt.对...进行交易,交往,以卡车运输 // vi.驾驶卡车,以物易物
contrast |  n.对比，对照； 差异； 对照物，对立面； [摄]反差
get |  vt. 使得；获得；受到；变成 // vi. 成为；变得；到达
skillful |  adj. 熟练的，灵巧的
orchestra |  n. 管弦乐队
rumor |  n. 谣言,传闻 // vt. 谣传
reply |  vt. &vi. &n. 回答,答复
volt |  n. 伏特(电压单位)
progressive |  adj. 前进的, 渐进的 // n. 进步人士
feeling |  n. 感觉,知觉,感情,意识,气氛 // adj. 有感情的, 富于同情心的, 含情脉脉的
parallel |  adj. 平行的,相同的,类似的,并联的 // adv. 平行地 // n. 平行线(面),相似物,对比 // vt. 相比,相应,与...平行
drag |  n. 用来拖拉的东西,拖,拖累 // vt. 拖累,拖拉(动) // vi. 拖拉(动),缓慢地行走
inward |  adj. 内心的,里面的 向内的，亲密的 // adv. 向内 // n.内部，内在
shrug |  n. 耸肩 // v. 耸肩
practically |  adj. 实际地, 几乎 // adv. 几乎, 简直, 实际上
import |  n. 进口 // vi. 进口,输入 // vt. 输入,进口
hat |  n. 帽子,职位 // vt. 给...戴帽子 // vi. 提供帽子
Thursday |  n. 星期四
tremble |  vi. 发抖；战栗；焦虑；摇晃 // vt. 使挥动；用颤抖的声音说出 // n. 颤抖；战栗；摇晃
pardon |  n. 原谅,赦免 // vt. 宽恕,原谅
throat |  n. 喉咙,嗓音 // vt. 低语,压着嗓子说(唱)
property |  n. 财产; 性质; 道具
garden |  n. 花园, 果园, 菜园, 草地 // vi. 栽培花木, 从事园艺工作 // vt. 造园, 以花园装饰 // adj.花园的, 园艺的, 绿化的, 平凡的
national |  adj. 国家的,民族的 // n. 国民
supplement |  n. 补充物,增刊 // vt. 补充,增补
disorder |  n. 杂乱,混乱 // vt. 扰乱
meal |  n. 膳食,一餐,谷物粗粉 // vi. 进餐
surprise |  n. 惊奇, 使惊讶的人或事物 // vt. &vi. 使惊奇, 突击, 逮捕
participant |  adj. 参与的 // n. 参加者,参与者
nothing |  adv. 毫不 // n. 微不足道的人或事 // pron. 什么也没有
depart |  vt. 离开 // vi. 离开,死亡,脱轨
drawer |  n. 抽屉
zone |  n. 地域,地带,地区 // vt. 划分成带, 标出或指定成区, 用腰带围绕 // adj. 地区性的, 地域上的
distinction |  n. 区别; 卓越; 殊荣
fix |  vt. &vi. 使...固定,修理,准备 // n. 困境, (船只、飞机等的)定方位,贿赂
who |  prep. …的, 谁, 他, 她, 他们 // pron. 谁
event |  n. 大事, 事件, 项目, 活动
pale |  n. 尖木桩,栅栏,界限 // adj. 苍白的,暗淡的,弱的,浅色的 // vi. 变得苍白,变得暗淡 // vt. 使苍白
synthetic |  adj. 综合的,合成的,人造的 // n. 人工制品
lion |  n. 狮子
enlighten |  v. 授与...知识, 启发, 启蒙
code |  n. 码,密码,法规,准则 // vt. 把...编码,制成法典
pharmacy |  n. 药房,配药学
hamper |  n. 食盒,食篮 // v. 阻碍,使...困累,困累
pasture |  n. 牧场 // v. 吃(草) // vt. 放牧
book |  n. 书,本子 // vt. 登记,预订 // vi. 通过...预订
airport |  n. 机场
manuscript |  adj. 手抄的 // n. 手稿, 原稿
some |  adj. 一些,少许,某一 // adv. 大约, 在某种程度上 // pron. 一些,一部份,若干
guideline |  n. 指引，指导方针
range |  n.范围； 射程； 类别； （山脉，房屋等的）排列 // vi.搜索； 变化； 延伸； 漫游 // vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 // adj.牧场的，放牧区的
yawn |  n. 呵欠 // v. 打呵欠
hearing |  n. 听力，听觉，说话或申辩的机会，审讯，听证会 // 动词hear的现在分词
stroke |  n. 中风；冲程；笔画；打击；尝试；轻抚 // vt. 抚摸；敲击；划尾桨；划掉 // vi. 击球；作尾桨手；敲击键盘
vanish |  vi. 消失,不见了,绝迹 // vt. 消失
forgive |  vt. &vi. 原谅,饶恕,宽恕
bird |  n. 鸟,家禽,陶土飞靶,伙伴 // vi. 观察或辨认鸟
threat |  n. 威胁, 凶兆
detail |  n. 细节,详情,部分,分派 // vt. 详述,选派,用小元素装饰 // vi. 画细节
unite |  v. 联合, 合并, 混合
routine |  n. 例行公事, 常规，无聊 // adj. 常规的, 例行的，乏味的
glamor |  n. 魅力，吸引力 // =glamour(英)
immune |  adj. 免除的,免疫的 // n. 免疫者
circus |  n. 广场,马戏团,马戏表演, 竞技场
heart |  n. 心,中心,要点,在扑克牌中指红桃 // v. 鼓起勇气,激励
legitimate |  adj. 合法的, 正当的, 合理的, 世袭的 // vt. 使合法, 授权, 宣布...为合法
academic |  n. 教学人员,学术人员 // adj. 学院的,理论的,学术性的
likelihood |  n. 可能性
compose |  vt. 组成, 写作, 作曲, 使镇静 // vi. 创作
priority |  n. 优先权, 优先顺序, 优先
vital |  adj. 至关重要的, 生死攸关的, 有活力的, 充满生机的
ache |  n. 痛 // vi. 痛,渴望
addition |  n. 增加,附加物,加,加法
laugh |  n. 笑(声),笑料,(复数)娱乐 // vt.& vi. 笑
besides |  prep. 除...之外 // adj. 别的 // adv. 也,此外
illness |  n. 病, 疾病
bath |  n. 洗澡,洗澡水,浴盆,浴室,财政亏损,(复)游泳池 // n. (Bath)巴斯(英国城市) // vt. &vi. 洗澡
clumsy |  adj. 笨拙的, 笨重的, 不得体的
largely |  adv. 大部分, 主要地
ultraviolet |  adj. 紫外线的 // n.紫外线
fake |  n. 假货,欺骗,骗子 // adj. 假的 // vt. 伪造,伪装 // vi. 假造
rehearsal |  n. 排练,彩排 // v. (使)排练,背诵
directly |  adv. 直接地(立即,完全)
sad |  adj. 悲哀的, 伤心的, 不能令人满意的
drift |  n. 漂移,漂流物,观望,漂流,吹积物,趋势 // vi. 漂移,漂流,吹积 // vt. 使漂流,把...吹积
standpoint |  n. 立场, 观点
waterfall |  n. 瀑布
subsequent |  adj. 随后的,后来的
robot |  n. 机器人
ethic |  n. 道德规范, 伦理
fan |  n. 风扇,扇形物,狂热者 // vt. 风选,煽,吹,煽动,向扇子一样展开 // vi. 像扇子一样行动,鱼贯而出
imagination |  n. 想象,想象力,空想
gossip |  n.  闲聊,随笔 // vi. 散播流言蜚语
alert |  adj. 警觉的,灵敏的 // n. 警戒,警报 // vt. 警惕,使意识到
reach |  n. 延伸,范围,河段 // vt. 到达,伸出,延伸,取得联系 // vi. 延伸
marital |  adj. 婚姻的
platform |  n. 平台,月台,讲台,坛,计划
pronoun |  n. 代词
well |  n. 井,源泉,楼梯井 // adj. 健康的,良好的,适宜的 // adv. 很好地,适当地 // vi. 涌出 // interj. 好吧,啊
tiger |  n. 老虎
spare |  adj. 多余的, 闲置的, 备用的, 简陋的 // v. 抽出，饶恕，赦免，节约 // n. 剩余, 备用品
click |  n. 点击,滴答声,拍答声 // vt. 点击,作滴答声,使...作拍答声 // vi. 击打,完全符合,成功,以点击的方式选择
absent |  adj. 缺席的,缺少的 // vt. 使缺席
comfort |  n. 舒适,安慰,安慰者 // vt. 安慰
monitor |  n. 监督器, 班长, 监听员, [计算机]显示器, 监视器 // v. 监视, 监听, 监督
popular |  adj. 大众的,流行的,有销路的
rare |  adj. 稀罕的, 罕见的, 珍贵的
cloak |  n. 斗蓬, 宽大外衣, 掩护 // v. 遮掩, 隐匿
reign |  n. 执政,君主统治时期,王朝 // vi. 当政,统治,占优势,支配,盛行
budget |  n. 预算 // vt. 编预算,为…做预算 // vi. 节省开支 // adj. 不贵的，廉价的
apparent |  adj. 显然的；表面上的；似乎真实的
distort |  vt. 变形,扭曲,歪曲 // vi. 歪曲
dye |  n. 染料,染色 // vt. 染 // vi. 染色
obvious |  adj. 明显的,显而易见的
mean |  n.平均值, 平均数; 中部 // adj. 低劣的, 卑贱的; 卑鄙的; 吝啬的 // adj. 平均的, 中等的 // v. 意味, 想要, 意欲
multitude |  n. 多数, 群众
dwarf |  n. 矮子,侏儒 // vt. 使矮小 // vi. 变小
thought |  n.思想； 想法； 关心； 思索 // v.想( think的过去式和过去分词)； 思索； 以为； 认为
genre |  n. 类型,流派
likewise |  adv. 同样地,此外,（表示感觉相同）我也是
passion |  n. 激情,热情
minor |  adj. 次要的, 较小的, 二流的, 未成年的 // n. 未成年人, 辅修科目, [音乐]小调 // vi. 辅修
performance |  n.表演； 演技； 表现； 执行
mass |  n. 块,大量,众多 // adj. 群众的,大规模的 // v. 集中 // n. pl. 群众，民众
devote |  vt. 投入于,献身
ornament |  n. 装饰,装饰物 // vt. 装饰
contain |  vt. 包含,容纳,克制,抑制 // vi. 自制
curriculum |  n. 课程，全部课程
disgrace |  n. 耻辱, 不名誉 // v. 耻辱, 使...失体面
temptation |  n. 诱惑，引诱； 诱惑物
restraint |  n. 抑制,克制,束缚
married |  adj. 已婚的
that |  pron. 那 // adj. 如此的, 上文提到的, 特定的 // adv. 非常 // conj. 引导宾语从句等从句
